BRAND,PRODUCT,PROCESSOR,RAM,HDD,SSD,GRAPHIC_CARD,DISPLAY,OPERATING_SYSTEM,PRICE,IMAGE
Acer,Acer Helios PH317-53 (NH.Q5PSI.004) Laptop (9th Gen Core i7/ 8GB/ 2TB 256GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 9th Gen,8GB,2TB,512GB,6 GB NVIDIA Graphics Card,17.3,Windows 10,99990,https://cdn1.smartprix.com/rx-iW87XzPjG-w103-h125/acer-helios-ph317-53.jpg
Acer,Acer Predator Helios PH315-51 Gaming Laptop (8th Gen Core i7/ 8GB/ 2TB/ Win10 Home/ 6GB Graph),Intel Core i7 8th Gen,8GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,99990,https://cdn1.smartprix.com/rx-iYR678Z0E-w103-h125/acer-predator-helios.jpg
Acer,Acer ConceptD 5 CN515-5 NX.C4JSI.002 Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 8th Gen,8GB,NO,512GB,4 GB AMD Graphics Card,15.6,Windows 10,99990,https://cdn1.smartprix.com/rx-iW3V5fXM5-w103-h125/acer-conceptd-5-cn51.jpg
Acer,Acer Aspire V5-571 Laptop (2nd Gen Ci3/ 4GB/ 500GB/ Win8) (NX.M2DSI.014),Intel Core i3 2nd Gen,4GB,1TB,256GB,NO,15.6,Windows 8,99699,https://cdn1.smartprix.com/rx-ijMneTSxG-w103-h125/acer-aspire-v5-571-l.jpg
Acer,Acer Aspire V3-571G Laptop (2nd Gen Ci3/ 4GB/ 500GB/ Win7 HB/ 2GB Graph) (NX.RZLSI.002),Intel Core i3 2nd Gen,4GB,1TB,NO,2 GB NVIDIA Graphics Card,15.6,Windows 7,99699,https://cdn1.smartprix.com/rx-i61XSSTY2-w103-h125/acer-aspire-v3-571g.jpg
Acer,Acer Swift 5 SF514 Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win10),Intel Core i7 10th Gen,16GB,1TB,NO,Intel Iris Plus Graphics,14,Windows 10,98999,https://cdn1.smartprix.com/rx-iQXoGdXlr-w103-h125/acer-swift-5-sf514-l.jpg
Acer,Acer Nitro Spin NP515-51 (NH.Q2YSI.011) Notebook (8th Gen Ci7/ 8GB/ 1TB/ Win10/ 4GB Graph),Intel Core i7 8th Gen,8GB,NO,128GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,98990,https://cdn1.smartprix.com/rx-iMQIr7NTl-w103-h125/acer-nitro-spin-np51.jpg
Acer,Acer Aspire R7-371T R-13 (NX.MQPSI.004) Notebook (5th Gen Ci5/ 8GB/ 500GB/ Win8/ 4GB Graph),Intel 5th Gen Core i5,8GB,1TB,NO,4 GB Intel Graphics Card,12.5,Windows 8,97000,https://cdn1.smartprix.com/rx-i1AoybVjA-w103-h125/acer-aspire-r7-371t.jpg
Acer,Acer Nitro 5 AN515-55-58EB NH.Q7NSI.001 Gaming Laptop (10th Gen Core i5 / 8GB/ 1TB 256GB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 10th Gen,8GB,500GB,NO,4 GB NVIDIA Graphics Card,15.6,Windows 10,94990,https://cdn1.smartprix.com/rx-iSbzWajdV-w103-h125/acer-nitro-5-an515-5.webp
Acer,Acer Predator Triton 300 (NH.Q6DSI.002) Gaming Laptop (9th Gen Core i7/ 8GB/ 2TB 256GB SSD/ Win10/ 4GB Graph),Intel Core i7 9th Gen,8GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,94990,https://cdn1.smartprix.com/rx-iFbl5mjUO-w103-h125/acer-predator-triton.jpg
